Date,Time,Stage,Duration (s),Energy (Wh),Avg Memory (MB),GPU,GPU Mem (MB),CPU
2025-04-25,00:46,Data analysis,1.18,0.131,9647.96,NVIDIA GeForce RTX 4090,24564,x86_64
2025-04-25,01:37,Simple Training,57.32,6.369,11732.61,NVIDIA GeForce RTX 4090,24564,x86_64
2025-04-25,01:40,Simple Training,115.27,12.807,13198.39,NVIDIA GeForce RTX 4090,24564,x86_64
2025-04-25,01:47,Simple Training,168.44,18.716,14332.03,NVIDIA GeForce RTX 4090,24564,x86_64
2025-04-25,01:54,Simple Training,265.79,29.532,15742.43,NVIDIA GeForce RTX 4090,24564,x86_64
2025-04-26,14:03,Grid Search Training,322.32,35.813,8775.04,NVIDIA GeForce RTX 4090,24564,x86_64
2025-04-26,14:33,Grid Search Training,1022.19,113.576,8308.66,NVIDIA GeForce RTX 4090,24564,x86_64
2025-04-26,15:23,Grid Search Training,1265.83,140.647,8892.46,NVIDIA GeForce RTX 4090,24564,x86_64
2025-04-26,16:03,Final Training,296.34,32.927,6290.72,NVIDIA GeForce RTX 4090,24564,x86_64
2025-04-26,16:18,Final Training,437.87,48.652,6313.98,NVIDIA GeForce RTX 4090,24564,x86_64
2025-04-26,16:39,Final Training,438.31,48.701,6340.3,NVIDIA GeForce RTX 4090,24564,x86_64
2025-04-26,17:04,Final Training,403.25,44.806,6283.18,NVIDIA GeForce RTX 4090,24564,x86_64
