Type,Iteration,Date,Precision,Recall,mAP@0.5,mAP@0.5:0.95,Time (s)
grid,1,2025-04-26 13:59,0.5721,0.6018,0.5705,0.2334,79.76
grid,2,2025-04-26 14:01,0.6059,0.6938,0.6571,0.2750,81.46
grid,3,2025-04-26 14:02,0.7511,0.7168,0.7896,0.3856,76.26
grid,4,2025-04-26 14:03,0.8256,0.7957,0.8312,0.4394,75.26
grid,5,2025-04-26 14:17,0.7768,0.6778,0.7041,0.3017,99.85
grid,6,2025-04-26 14:19,0.6232,0.7173,0.7202,0.3064,109.88
grid,7,2025-04-26 14:21,0.7272,0.6991,0.7628,0.3224,96.65
grid,8,2025-04-26 14:22,0.7544,0.6991,0.7579,0.3482,93.35
grid,9,2025-04-26 14:24,0.6670,0.7257,0.6819,0.3013,94.87
grid,10,2025-04-26 14:26,0.6139,0.7080,0.6869,0.3271,97.7
grid,11,2025-04-26 14:27,0.7044,0.6538,0.7365,0.3585,94.8
grid,12,2025-04-26 14:30,0.8017,0.6442,0.7354,0.3721,150.28
grid,13,2025-04-26 14:33,0.8164,0.7876,0.8329,0.4236,161.41
grid,14,2025-04-26 15:03,0.7364,0.7080,0.7329,0.4109,77.86
grid,15,2025-04-26 15:05,0.7732,0.7345,0.8162,0.4637,75.01
grid,16,2025-04-26 15:06,0.7718,0.7185,0.7956,0.4174,75.15
grid,17,2025-04-26 15:07,0.7760,0.6726,0.7990,0.3894,75.29
grid,18,2025-04-26 15:09,0.8149,0.7792,0.8367,0.4460,75.56
grid,19,2025-04-26 15:10,0.7536,0.7577,0.7977,0.4482,75.34
grid,20,2025-04-26 15:11,0.7373,0.6705,0.7755,0.4175,75.99
grid,21,2025-04-26 15:12,0.7849,0.6991,0.7891,0.4121,76.35
grid,22,2025-04-26 15:14,0.7168,0.8142,0.7944,0.4609,77.46
grid,23,2025-04-26 15:15,0.7646,0.7611,0.8148,0.4502,77.42
grid,24,2025-04-26 15:16,0.7482,0.7345,0.8157,0.4146,77.37
grid,25,2025-04-26 15:18,0.6935,0.7876,0.7792,0.3779,76.85
grid,26,2025-04-26 15:19,0.8192,0.7216,0.8288,0.4363,77.54
grid,27,2025-04-26 15:20,0.7280,0.7580,0.8142,0.3813,78.17
grid,28,2025-04-26 15:22,0.6714,0.7434,0.7330,0.3849,77.67
grid,29,2025-04-26 15:23,0.7567,0.7080,0.7941,0.3854,77.52
Final,30,2025-04-26 16:03,0.7901,0.7522,0.8604,0.5138,293.68
Final,31,2025-04-26 16:18,0.7754,0.8496,0.8608,0.5517,435.23
Final,32,2025-04-26 16:39,0.7754,0.8496,0.8608,0.5517,435.75
Final,33,2025-04-26 17:04,0.7797,0.8053,0.8520,0.5339,400.7
